episodio;total_cost;total_co2;SOC_finale;battery_use_history;gen_use_history
93;4780.7999;6167.140;0.1674899741059562;0.832678868372163;10469407.343;2345927.329,
94;4788.9650;6169.527;0.167449249290818;0.8326841922488643;10469144.171;2372863.717,
95;4720.1280;6146.545;0.16737666040522386;0.8326781462020947;10469599.705;2144843.679,
96;4849.5489;6175.317;0.16749865966677907;0.8326868280118112;10468927.139;2475321.097,
97;4826.4234;6170.700;0.16718184969629787;0.8326711242785466;10470280.720;2440348.175,
98;4727.0930;6147.691;0.16732621209030227;0.8326728328713069;10469989.900;2177727.395,
99;4643.2498;6123.968;0.16743422267201324;0.8326787796838362;10469500.717;1935138.041,
100;4726.0039;6140.865;0.1676126583089767;0.8326750647585577;10469491.792;2146980.537,
101;4770.0799;6158.594;0.16736790180242156;0.8326713252947844;10470033.082;2315709.669,
102;4743.7309;6150.296;0.1675151019384946;0.8326735581163052;10469707.316;2229511.252,
103;4778.4239;6162.038;0.16749933591903265;0.8326776016150105;10469487.558;2333155.764,
104;4776.8526;6152.427;0.16770939946429586;0.8326776474429799;10469212.623;2276337.830,
105;4824.3810;6164.258;0.16762926393878352;0.8326747055577896;10469488.505;2414691.988,
106;4815.3954;6158.038;0.16753775954981753;0.8326726259660518;10469730.318;2354207.138,
107;4759.2492;6145.982;0.16757555245984004;0.8326741560551186;10469590.408;2212371.147,
108;4880.5290;6174.925;0.16779790504251094;0.8326779423816135;10469073.890;2530646.897,
109;4837.4370;6159.484;0.16738603418115133;0.8326718000460424;10469973.415;2367723.698,
110;4842.7413;6157.014;0.16763362732827;0.8326766563453346;10469357.299;2355087.915,
111;4805.7835;6146.515;0.1675819454722063;0.8326764345054034;10469440.301;2240889.627,
112;4724.1938;6129.964;0.16766153298594977;0.832677074620074;10469298.365;2039037.705,
113;4733.6834;6133.007;0.1675863234816033;0.8326728587788078;10469643.229;2061637.719,
114;4855.0902;6167.158;0.1675989744275287;0.8326775342034306;10469351.661;2437792.107,
115;4805.2595;6159.696;0.16763933689396324;0.8326760422080259;10469387.992;2352385.809,
116;4694.7903;6138.135;0.1676909792094237;0.8326776140206446;10469227.825;2101769.956,
117;4652.8472;6129.367;0.16771605303651518;0.8326831615616291;10468866.045;1991198.434,
118;4648.1977;6128.988;0.16749161897318052;0.8326707479122917;10469897.159;1990817.972,
119;4745.4192;6155.108;0.1676415021548882;0.8326731729347291;10469558.925;2262035.819,
120;4776.1839;6161.622;0.16755943671543275;0.8326781899001553;10469369.813;2335728.787,
121;4786.4610;6163.668;0.16768497928230527;0.8326795904348515;10469125.270;2334955.054,
122;4706.4864;6136.439;0.16747787625327998;0.8326750282095338;10469665.310;2048134.557,
123;4710.7885;6138.217;0.167662239031509;0.8326787320086996;10469205.303;2059346.361,
124;4643.3851;6110.380;0.16779213449094138;0.83267863652762;10469041.445;1794631.800,
125;4628.7270;6107.897;0.16771826694771277;0.8326751275116735;10469347.410;1777317.129,
126;4631.3887;6107.302;0.1677230378334429;0.8326762105254928;10469276.726;1767891.730,
127;4602.8554;6103.089;0.16747790566194695;0.8326692249053548;10470013.835;1720177.277,
128;4617.0219;6102.638;0.16762971674169783;0.8326732255908389;10469576.539;1740263.359,
129;4552.7169;6086.848;0.1676422482724301;0.8326716437233281;10469652.478;1568602.386,
130;4488.8471;6070.617;0.1676971799579707;0.832673493782705;10469472.092;1397905.686,
131;4504.2413;6069.382;0.1676134197453567;0.8326723786260031;10469648.734;1415859.401,
132;4593.7269;6095.673;0.1677285591807283;0.832677182739626;10469215.298;1690323.710,
133;4610.4413;6094.932;0.16769755382606175;0.8326757707810091;10469337.690;1704925.129,
134;4626.8663;6098.562;0.1675597260846479;0.8326717201568647;10469757.604;1740107.454,
135;4471.2722;6063.779;0.16764351631231533;0.8326748329560456;10469462.400;1360974.971,
136;4418.0938;6055.418;0.16766003862031897;0.8326718953019578;10469619.141;1253958.205,
